hope
love
fear
hurt
relief
terror
defeat
surprise
suffering
worry
desire
anger
shock
optimism
hate
pride
frustration
triumph
regret
panic
disappointment
passion
enthusiasm
depression
alarm
outrage
sympathy
joy
rejection
anxiety
horror
isolation
satisfaction
excitement
shame
pleasure
attraction
grief
guilt
embarrassment
rage
spite
hostility
contempt
caring
distress
misery
resentment
happiness
delight
neglect
despair
insult
insecurity
compassion
affection
sadness
humiliation
dismay
fury
sorrow
thrill
bitterness
amusement
gloom
remorse
envy
anguish
wrath
disgust
pity
dislike
euphoria
nervousness
displeasure
agony
zeal
longing
dread
hysteria
scorn
irritation
liking
melancholy
apprehension
zest
lust
unhappiness
eagerness
loneliness
ecstasy
fondness
enjoyment
alienation
jealousy
annoyance
glee
ferocity
agitation
amazement
fright
exasperation
torment
jubilation
uneasiness
revulsion
bliss
astonishment
sentimentality
tenderness
hopelessness
woe
aggravation
elation
loathing
adoration
infatuation
exhilaration
contentment
rapture
arousal
homesickness
cheerfulness
gaiety
dejection
mortification
gladness
grumpiness
joviality
