,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.705919,-0.257996,-0.0426497,-0.0546161,0.123421,-0.0401557,-0.138648,0.0221192,0.00685163,-0.0488544,-0.0754774,-0.0114068,-0.0022147,-0.0294968,-0.0632258,0.110824,-0.0510373,0.0772104,-0.0344266,0.0028056,-0.0130829,-0.0472708,0.112174,0.109058,0.0662815,-0.0583526,-0.0744007,0.0423529,0.0608164,0.0161036,emotion,%anger
1,0.674162,-0.298823,-0.0413734,-0.029368,0.112421,-0.013045,-0.164279,-0.0215358,-0.029372,-0.04953,-0.0813054,0.0041929,0.0561683,0.00905682,-0.0593973,0.115597,-0.0322921,0.043317,-0.0120311,-0.0671491,-0.00690242,-0.0444032,0.119752,0.0589121,0.0765622,-0.085224,-0.0257995,0.0368543,0.044392,0.0163914,emotion,%happiness
2,0.658528,-0.277337,0.0383409,-0.0577232,0.0861701,0.0101386,-0.0593038,0.0901193,-0.0284929,-0.0393599,-0.116959,-0.0317759,0.0815467,-0.0563333,-0.0692335,0.0606436,-0.0422949,0.00340886,-0.0371406,-0.0311711,0.0173813,-0.0885652,0.106863,0.0977901,0.0447451,-0.0333192,-0.0977455,0.064036,-0.0173777,0.0234723,emotion,%sadness
3,0.720214,-0.314567,0.159072,-0.0410048,-0.0558806,0.0699732,0.0785144,0.018976,0.0952972,0.0600041,-0.0689958,0.00990762,-0.0260323,-0.0236717,0.0512359,0.0806523,-0.0858227,-0.0475898,0.00955463,-0.0251899,-0.0080783,-0.0551871,0.0195245,0.0368324,0.0178673,-0.0338619,-0.0290948,0.0531821,0.00679098,-0.00117236,emotion,%tragedy
4,0.729802,-0.32528,0.0427019,-0.0599988,0.00684145,0.0558437,0.0955786,0.138508,0.0173862,0.0260578,-0.178867,-0.00116033,0.0568726,-0.0692829,-0.027554,0.128008,-0.0151466,-0.0150004,-0.0287515,-0.0538028,0.00799033,-0.0178837,0.0636473,0.0831033,0.0599234,-0.0258754,0.0109517,0.0025853,-0.0258186,-0.0203356,emotion,%melancholy
5,0.697259,-0.162729,0.0487709,-0.0452089,0.132679,-0.00579675,-0.0834307,0.0859983,-0.0221213,-0.0916239,-0.0278761,0.00864818,-0.0422719,-0.0153781,-0.0140392,0.0921949,-0.0429454,0.0383045,-0.0993374,0.0374391,0.00955326,-0.0680729,0.0646592,0.12316,0.0135102,-0.0660922,-0.0590205,-0.0542827,0.0237627,0.0374648,emotion,%ecstacy
6,0.697237,-0.2032,-0.0294068,-0.0393577,0.0894706,-0.0110666,-0.0194594,0.0977086,-0.0454306,-0.0328024,-0.0877466,0.0504474,-0.0892855,-0.0138377,0.0416122,0.124716,0.00523793,0.0218067,-0.107702,-0.0839921,-0.016711,-0.103656,0.0260455,0.0531965,0.0245411,-0.0687534,-0.0392197,0.0151779,0.0752692,-0.0198729,emotion,%mourning
7,0.596637,-0.369704,-0.0313916,-0.0259447,-0.00437411,-0.00103603,0.00876234,0.0225558,0.0792023,-0.067951,-0.0984313,0.0189033,0.0567722,-0.0921608,-0.0263275,0.175657,-0.0138267,0.0182084,-0.0276775,-0.0549666,0.0368492,-0.0185002,0.125243,0.0985453,0.11374,-0.0498579,-0.0474996,0.0367591,0.0576561,0.0593613,emotion,%disdain
8,0.683786,-0.313743,0.0846401,-0.0553649,0.0717183,0.0225799,-0.0503889,0.068484,-0.0145005,-0.0267127,-0.0596743,0.0362409,-0.00951468,-0.0564334,-0.0570441,0.142928,-0.0523363,0.0534044,-0.0249239,-0.0712779,0.0153112,-0.0368807,0.113175,0.0817121,0.1008,-0.0507728,-0.0176253,0.0247267,0.0678184,-0.029105,emotion,%misery
9,0.737555,-0.230592,-0.0660998,0.00266801,0.0490546,0.0173044,0.154541,0.0771858,0.076718,0.0592394,-0.206942,0.0125907,0.0722434,-0.0291659,-0.0307622,0.0417266,0.0170804,-0.00598831,0.0097875,-0.0704705,0.00889153,0.0322599,0.0156148,0.127182,0.0257351,0.00458427,0.042763,-0.0189025,-0.0470541,-0.0650029,emotion,%mellow
10,0.736713,-0.127735,0.0453564,0.000657481,0.0689006,0.0158351,-0.0186457,0.0450094,1.17061e-05,-0.0571056,-0.0502402,-0.0461532,0.0312406,0.027052,-0.0689672,0.100024,-0.0444776,-0.00198575,-0.0197344,-0.0439595,-0.0598534,-0.059268,0.0449678,0.0448542,0.0451627,-0.0711682,-0.0298547,-0.00884457,0.0354132,-0.00656682,emotion,%paranoia
11,0.673726,-0.0954409,0.0711895,-0.0265473,0.00795749,-0.0259622,-0.0127579,0.0187901,-0.0650917,-0.0253539,0.00537948,0.00500448,0.0532916,0.0171449,-0.138663,0.0691177,-0.0456933,0.023404,-0.0132101,-0.0147839,-0.0353718,-0.0523203,0.0352959,0.0932431,0.05652,0.0148958,0.052275,0.0179688,0.0072897,0.0480178,emotion,%angst
12,0.616789,-0.277225,-0.124119,-0.0319262,0.164268,-0.0623261,-0.145799,0.0598663,0.0720206,-0.126055,-0.0857342,0.0770399,7.35558e-05,-0.0999244,-0.0117067,0.147777,-0.0138265,0.0353486,-0.0906326,-0.061721,-0.013967,-0.0942691,0.0861165,0.0971585,0.0600139,-0.0759031,-0.0731719,0.00414145,0.0471835,-0.0216631,emotion,%despair
13,0.646489,-0.299719,0.000263338,-0.0526124,0.102795,-0.0101534,-0.0972597,0.0867138,-0.0326355,-0.0310615,-0.0966217,0.0286039,0.0336916,-0.0434117,-0.0485361,0.160218,-0.0561518,0.0307598,-0.0752638,-0.0756469,0.00962425,-0.0597273,0.105897,0.0872196,0.0756168,-0.0720087,-0.065394,0.0163002,0.0497206,0.0245108,emotion,%sorrow
14,0.663234,-0.119843,0.0458167,-0.0353045,0.112361,-0.0313769,-0.12714,-0.000505772,-0.0406149,-0.0328786,-0.113716,-0.020022,0.10569,-0.0362728,-0.00294759,-0.00412131,0.0274828,-0.0876238,-0.00819121,-0.0693185,-0.0186756,0.0126601,0.073373,-0.0114383,-0.02919,-0.0802837,0.0517395,0.0867248,0.0805547,-0.00969834,emotion,%bereavement
15,0.683786,-0.313743,0.0846401,-0.0553649,0.0717183,0.0225799,-0.0503889,0.068484,-0.0145005,-0.0267127,-0.0596743,0.0362409,-0.00951468,-0.0564334,-0.0570441,0.142928,-0.0523363,0.0534044,-0.0249239,-0.0712779,0.0153112,-0.0368807,0.113175,0.0817121,0.1008,-0.0507728,-0.0176253,0.0247267,0.0678184,-0.029105,emotion,%misery
16,0.615357,-0.498696,-0.0637212,0.011482,-0.0515176,0.145277,0.181513,0.180684,0.027914,0.0624694,-0.118053,-0.0109699,-0.0290275,-0.00815199,0.0410141,0.0380398,0.0768057,-0.01397,0.0352157,-0.0264134,0.00245466,0.0275102,-0.00190972,-0.00584629,0.0437423,0.0387411,-0.00289005,0.000471387,-0.0381937,-0.0441542,emotion,%devastating
17,0.694438,-0.254316,0.0172866,-0.0392863,0.0878278,-0.0170783,-0.122792,0.016628,-0.0201287,-0.00794641,-0.122479,0.00786265,0.0266313,0.00579116,-0.0566728,0.139002,-0.00401937,0.00490138,-0.0549685,-0.0383042,0.0149513,-0.0290165,0.117287,0.0628117,0.0913723,-0.0754077,-0.0727849,0.0457052,0.0530788,0.00757514,emotion,%grief
18,0.535309,-0.366618,-0.406938,0.107423,0.00446929,-0.0269674,0.141589,0.0435475,0.0320483,-0.0292124,-0.0406303,0.00427835,-0.09829,0.0294287,-0.0904529,0.0463137,0.0332204,0.113362,0.00529964,0.0316437,-0.0496583,-0.0064371,0.0394946,0.137207,0.0404056,-0.0326302,0.0289489,0.0355451,-0.0712914,0.0232937,emotion,%upset
19,0.751092,-0.194333,0.215547,-0.0572104,-0.0729727,0.0694088,0.0870662,0.0829451,0.109198,-0.0101823,0.0555844,0.0244186,-0.0454046,-0.0288738,-0.0894632,0.0261021,-0.0261996,0.0244356,-0.0246903,-0.0175108,-0.0466023,-0.0712028,-0.0526488,-0.00909777,-0.0170072,-0.0403822,-0.0527137,-0.037768,0.0188622,-0.0287038,emotion,%rapture
20,0.708,-0.0831213,0.112251,-0.0386926,0.0532439,0.00950946,-0.0213505,0.0610752,0.0288615,-0.0560654,0.00589086,0.0521737,-0.0162869,0.0379158,-0.0404926,0.0925255,-0.0535153,-0.0145398,-0.0331246,-0.03501,-0.0117539,-0.0296242,-0.0253104,-6.85244e-05,-0.00228387,-0.0386399,-0.0339285,-0.00654328,-0.0070179,0.0486483,emotion,%euphoria
21,0.691346,-0.000366217,0.0496804,-0.0517599,0.128047,0.0059986,-0.020878,0.092013,-0.0290973,-0.105599,-0.10037,-0.0144113,0.0568006,0.0312695,0.0319132,0.0975247,-0.0359138,-0.0450703,-0.0321286,-0.0477323,0.00961204,-0.0980475,-0.018993,0.0362395,0.00683336,-0.0429505,0.0130522,-0.00346429,0.0399955,0.0716314,emotion,%delirium
22,0.679095,-0.3563,0.0399022,-0.000971279,0.0113771,0.0669767,0.0469385,-0.0518504,0.0373111,0.0815051,-0.201743,0.0097851,0.00294106,0.00531868,-0.0124927,0.0975212,-0.00289245,0.0261103,-0.0390934,0.0060048,0.0268216,0.0135078,0.110964,0.0257898,0.0433602,-0.0470554,-0.0319016,0.0263499,0.0647411,0.0460104,emotion,%pleasure
23,0.611057,-0.381987,0.110427,-0.0567972,0.0328136,0.0341718,-0.12417,-0.0172435,-0.0685303,-0.063759,-0.0136026,0.00657608,0.0407037,-0.0228236,-0.105503,0.0708489,-0.0249728,0.0331331,0.0368685,0.012243,-0.0238095,0.0582619,0.131399,0.0695738,0.0611575,-0.06453,0.0053568,0.0473553,0.158636,0.0247125,emotion,%enjoyment
24,0.769569,-0.23883,0.0159505,-0.0503985,0.0541236,-0.0316112,-0.0187661,0.0518916,0.0454539,0.0934945,-0.118352,0.00398675,0.0331206,0.0309952,-0.0405436,0.100773,-0.0468348,0.0556657,-0.014173,-0.0287089,0.0122852,-0.0110927,0.0593196,0.019937,0.0533606,-0.0755594,-0.0603976,-0.0137341,0.0236402,-0.00540661,emotion,%joy
